Column 1,Column 2,Quality,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16
,Spartan,2nd,£/kg,,,,,,,,,,0.34,0.37,0.36
,Spartan,Ave,£/kg,,,,,,,,,,0.59,0.54,0.60
,Worcester Pearmain,1st,£/kg,,,,,,,,,0.69,0.63,,
,Worcester Pearmain,2nd,£/kg,,,,,,,,,0.50,0.43,,
,Worcester Pearmain,Ave,£/kg,,,,,,,,,0.67,0.52,,
,Red Pippin,1st,£/kg,,,,,,,,,0.61,0.48,0.49,
,Red Pippin,2nd,£/kg,,,,,,,,,,0.34,,
,Red Pippin,Ave,£/kg,,,,,,,,,,0.47,,
,Gala,1st,£/kg,0.54,0.57,0.62,0.54,,,,,0.64,0.59,0.54,0.64
,Gala,2nd,£/kg,0.40,0.55,0.43,0.44,,,,,,,0.42,0.43
,Gala,Ave,£/kg,0.51,0.57,0.55,0.49,,,,,,,0.53,0.59
,Other Early Season,-,£/kg,,,,,,,,0.60,0.55,0.50,,
,Other Mid Season,-,£/kg,0.58,0.62,0.61,,,,,,0.67,0.50,0.42,0.57
,Other Late Season,-,£/kg,0.54,0.55,0.56,0.53,0.55,0.44,,,,0.60,0.58,0.60
,Jonogold – group,1st,£/kg,0.42,0.48,0.59,0.51,,,,,,0.62,0.56,0.52
,Jonogold – group,2nd,£/kg,0.39,,,,,,,,,0.33,0.33,0.35
,Jonogold – group,Ave,£/kg,0.41,,,,,,,,,0.60,0.47,0.41
(new item at the start of 2007),Red,2nd,£/kg,0.32,0.22,0.28,0.35,0.31,,,,0.36,0.28,0.21,0.22
,Red,Ave,£/kg,0.38,0.36,0.29,0.36,0.40,,,,0.40,0.30,0.30,0.32
(new item at the start of 2007),Leaf - Loose/bunches,2nd,£/kg,,,,,0.35,0.34,0.32,0.32,0.40,0.38,,
,Leaf - Loose/bunches,Ave,£/kg,,,,,0.71,0.64,0.64,0.58,0.68,0.70,,
2009,,Quality,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
