year,Apple Type,Quality,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2012,Jonagold(andclones),1st,£/kg,,0.53,,,,,,,,0.78,0.73,0.66
2013,Bramleys Seedling,1st,£/kg,0.99,1.01,1.04,1.05,1.11,1.27,1.26,1.38,0.84,0.67,0.64,0.67
2013,Cox(andclones),1st,£/kg,0.90,0.96,1.05,0.96,,,,,1.04,0.76,0.70,0.69
2013,Discovery,1st,£/kg,,,,,,,,1.00,0.73,0.46,,
2013,EgremontRusset,1st,£/kg,0.82,0.88,0.96,,,,,,1.00,0.76,0.70,0.71
2013,Spartan,1st,£/kg,0.61,,,,,,,,,0.79,0.76,0.58
2013,WorcesterPearmain,1st,£/kg,,,,,,,,,0.76,0.60,0.47,
2013,Fiesta/RedPippin,1st,£/kg,,,,,,,,,,,0.66,
2013,Gala(andclones),1st,£/kg,0.81,0.91,0.69,0.82,0.77,,,,1.09,0.68,0.67,0.65
2013,Jonagold(andclones),1st,£/kg,,,,,,,,,,0.68,0.61,0.50
2014,Bramleys Seedling,1st,£/kg,0.74,0.72,0.74,0.75,0.77,0.72,0.74,0.63,0.58,0.58,0.59,0.63
2014,Cox(andclones),1st,£/kg,0.76,0.73,0.89,0.85,0.94,,,1.03,0.75,0.66,0.66,0.68
2014,Discovery,1st,£/kg,,,,,,,,0.62,0.50,0.54,,
2014,EgremontRusset,1st,£/kg,0.71,0.72,0.81,0.83,0.78,,,0.88,0.78,0.65,0.71,0.71
2014,Spartan,1st,£/kg,0.65,0.65,,,,,,,0.84,0.63,0.59,0.59
2014,WorcesterPearmain,1st,£/kg,,,,,,,,0.84,0.66,0.50,0.49,
2014,Fiesta/RedPippin,1st,£/kg,0.53,,,,,,,,,,,
2014,Braeburn,1st,£/kg,,,0.71,0.63,0.81,,,,,0.63,0.65,0.62
2014,Gala(andclones),1st,£/kg,0.69,0.72,0.80,0.79,0.74,,,,0.69,0.63,0.67,0.64
2014,Jonagold(andclones),1st,£/kg,,0.51,,,,,,,,0.56,0.58,0.58
2015,Bramleys Seedling,1st,£/kg,0.65,0.63,0.63,0.64,0.66,,,,,,,
2015,Cox(andclones),1st,£/kg,0.71,0.79,0.93,,,,,,,,,
2015,Discovery,1st,£/kg,,,,,,,,,,,,
2015,EgremontRusset,1st,£/kg,0.73,0.78,0.75,,,,,,,,,
2015,Spartan,1st,£/kg,0.54,,,,,,,,,,,
2015,WorcesterPearmain,1st,£/kg,,,,,,,,,,,,
2015,Braeburn,1st,£/kg,0.64,0.63,0.61,0.61,0.63,,,,,,,
2015,Gala(andclones),1st,£/kg,0.74,0.70,0.67,0.70,0.66,,,,,,,
2015,Jonagold(andclones),1st,£/kg,0.58,,,0.71,0.68,,,,,,,
