Column 1,year,Apple Type,Quality,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,2011,Spartan,Ave,£/kg,0.66,,,,,,,,0.77,0.90,0.53,0.54
,2011,Worcester Pearmain,1st,£/kg,,,,,,,,0.69,0.60,,,
,2011,Worcester Pearmain,2nd,£/kg,,,,,,,,,,,,
,2011,Worcester Pearmain,Ave,£/kg,,,,,,,,0.69,0.60,,,
,2011,Red Pippin,1st,£/kg,,,,,,,,,,,,
,2011,Red Pippin,2nd,£/kg,,,,,,,,,,,,
,2011,Red Pippin,Ave,£/kg,,,,,,,,,,,,
,2011,Gala,1st,£/kg,0.67,0.85,0.80,0.79,0.72,,,,0.68,0.64,0.62,0.71
,2011,Gala,2nd,£/kg,0.50,,0.45,0.74,,,,,0.50,0.40,0.39,0.45
,2011,Gala,Ave,£/kg,0.67,0.85,0.78,0.78,0.72,,,,0.68,0.62,0.60,0.64
,2011,Other Early Season,-,£/kg,,,,,,,,0.61,0.54,0.50,0.49,
,2011,Other Mid Season,-,£/kg,0.61,0.61,0.61,0.76,,,,,,0.63,0.59,0.60
,2011,Other Late Season,-,£/kg,0.62,0.70,0.69,0.63,0.55,,,,,0.69,0.68,0.67
,2011,Jonogold – group,1st,£/kg,0.68,0.56,0.53,,,,,,,0.59,0.60,0.52
,2011,Jonogold – group,2nd,£/kg,,,,,,,,,,0.49,,
,2011,Jonogold – group,Ave,£/kg,0.68,0.56,0.53,,,,,,,0.59,0.60,0.52
Cooking Apples,2012,Bramley’s Seedling,1st,£/kg,0.67,0.66,0.63,0.71,0.74,0.87,1.08,0.94,0.77,0.92,0.97,1.04
,2012,Bramley’s Seedling,2nd,£/kg,0.43,0.46,0.44,0.47,0.55,0.60,0.54,0.52,0.52,0.53,0.55,0.71
,2012,Bramley’s Seedling,Ave,£/kg,0.61,0.61,0.59,0.66,0.71,0.84,0.88,0.86,0.75,0.90,0.94,1.01
Dessert Apples,2012,Cox’s Orange-group,1st,£/kg,0.75,0.79,0.83,0.91,0.86,,,,0.98,0.90,0.81,0.90
