year,Apple Type,Quality,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2012,Bramleys Seedling,Ave,£/kg,0.61,0.61,0.59,0.66,0.71,0.84,0.88,0.86,0.75,0.90,0.94,1.01
2012,Cox(andclones),1st,£/kg,0.75,0.79,0.83,0.91,0.86,,,,0.98,0.90,0.81,0.90
2012,Cox(andclones),2nd,£/kg,0.44,0.47,0.47,0.49,,,,,0.65,0.50,0.41,0.54
2012,Cox(andclones),Ave,£/kg,0.71,0.75,0.80,0.84,0.86,,,,0.98,0.88,0.77,0.87
2012,Discovery,1st,£/kg,,,,,,,,0.91,0.67,,,
2012,Discovery,2nd,£/kg,,,,,,,,0.67,0.55,,,
2012,Discovery,Ave,£/kg,,,,,,,,0.90,0.66,,,
2012,EgremontRusset,1st,£/kg,0.75,0.88,0.97,,,,,,0.95,0.87,0.85,0.89
2012,EgremontRusset,2nd,£/kg,0.49,,,,,,,,,0.61,0.44,0.66
2012,EgremontRusset,Ave,£/kg,0.71,0.88,0.97,,,,,,0.95,0.87,0.84,0.88
2012,Spartan,1st,£/kg,,,,,,,,,,1.06,0.86,
2012,Spartan,2nd,£/kg,0.40,,,,,,,,,0.51,,
2012,Spartan,Ave,£/kg,0.40,,,,,,,,,0.79,0.86,
2012,WorcesterPearmain,1st,£/kg,,,,,,,,0.66,0.78,0.65,,
2012,WorcesterPearmain,2nd,£/kg,,,,,,,,,0.66,,,
2012,WorcesterPearmain,Ave,£/kg,,,,,,,,0.66,0.78,0.65,,
2012,Fiesta/RedPippin,1st,£/kg,,,,,,,,,,0.61,0.69,
2012,Fiesta/RedPippin,2nd,£/kg,,,,,,,,,,0.83,,
2012,Fiesta/RedPippin,Ave,£/kg,,,,,,,,,,0.70,0.69,
2012,Gala(andclones),1st,£/kg,0.69,0.68,0.73,0.81,0.74,,,,0.79,0.83,0.76,0.81
2012,Gala(andclones),2nd,£/kg,0.40,0.53,0.60,0.66,,,,,,0.64,0.42,0.49
2012,Gala(andclones),Ave,£/kg,0.68,0.68,0.73,0.81,0.74,,,,0.79,0.81,0.72,0.79
2012,Other Early Season,-,£/kg,,,,0.93,,,,,0.73,0.81,0.82,
2012,Other Mid Season,-,£/kg,0.59,0.53,0.77,0.72,,,,,,0.60,0.63,0.71
2012,Other Late Season,-,£/kg,0.65,0.67,0.63,0.82,0.89,,,,,0.77,0.78,0.73
2012,Jonagold(andclones),1st,£/kg,,0.53,,,,,,,,0.78,0.73,0.66
2012,Jonagold(andclones),2nd,£/kg,,0.49,,,,,,,,0.63,,
2012,Jonagold(andclones),Ave,£/kg,,0.50,,,,,,,,0.77,0.73,0.66
2013,Bramleys Seedling,1st,£/kg,0.99,1.01,1.04,1.05,1.11,1.27,1.26,1.38,0.84,0.67,0.64,0.67
2013,Bramleys Seedling,2nd,£/kg,0.63,0.64,0.62,0.59,0.71,0.72,0.84,0.71,0.58,0.48,0.47,0.44
2013,Bramleys Seedling,Ave,£/kg,0.95,0.98,1.01,1.02,1.07,1.12,1.23,1.31,0.80,0.64,0.61,0.62
